,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,France,Germany,Spain
0,619,False,42,2,0.0,1,1,1,101348.88,1,True,False,False
1,608,False,41,1,83807.86,1,0,1,112542.58,0,False,False,True
2,502,False,42,8,159660.8,3,1,0,113931.57,1,True,False,False
3,699,False,39,1,0.0,2,0,0,93826.63,0,True,False,False
4,850,False,43,2,125510.82,1,1,1,79084.1,0,False,False,True
5,645,True,44,8,113755.78,2,1,0,149756.71,1,False,False,True
6,822,True,50,7,0.0,2,1,1,10062.8,0,True,False,False
7,376,False,29,4,115046.74,4,1,0,119346.88,1,False,True,False
8,501,True,44,4,142051.07,2,0,1,74940.5,0,True,False,False
9,684,True,27,2,134603.88,1,1,1,71725.73,0,True,False,False
10,528,True,31,6,102016.72,2,0,0,80181.12,0,True,False,False
11,497,True,24,3,0.0,2,1,0,76390.01,0,False,False,True
12,476,False,34,10,0.0,2,1,0,26260.98,0,True,False,False
13,549,False,25,5,0.0,2,0,0,190857.79,0,True,False,False
14,635,False,35,7,0.0,2,1,1,65951.65,0,False,False,True
15,616,True,45,3,143129.41,2,0,1,64327.26,0,False,True,False
16,653,True,58,1,132602.88,1,1,0,5097.67,1,False,True,False
17,549,False,24,9,0.0,2,1,1,14406.41,0,False,False,True
18,587,True,45,6,0.0,1,0,0,158684.81,0,False,False,True
19,726,False,24,6,0.0,2,1,1,54724.03,0,True,False,False
20,732,True,41,8,0.0,2,1,1,170886.17,0,True,False,False
21,636,False,32,8,0.0,2,1,0,138555.46,0,False,False,True
22,510,False,38,4,0.0,1,1,0,118913.53,1,False,False,True
23,669,True,46,3,0.0,2,0,1,8487.75,0,True,False,False
24,846,False,38,5,0.0,1,1,1,187616.16,0,True,False,False
25,577,True,25,3,0.0,2,0,1,124508.29,0,True,False,False
26,756,True,36,2,136815.64,1,1,1,170041.95,0,False,True,False
27,571,True,44,9,0.0,2,0,0,38433.35,0,True,False,False
28,574,False,43,3,141349.43,1,1,1,100187.43,0,False,True,False
29,411,True,29,0,59697.17,2,1,1,53483.21,0,True,False,False
30,591,False,39,3,0.0,3,1,0,140469.38,1,False,False,True
31,533,True,36,7,85311.7,1,0,1,156731.91,0,True,False,False
32,553,True,41,9,110112.54,2,0,0,81898.81,0,False,True,False
33,520,False,42,6,0.0,2,1,1,34410.55,0,False,False,True
34,722,False,29,9,0.0,2,1,1,142033.07,0,False,False,True
35,475,False,45,0,134264.04,1,1,0,27822.99,1,True,False,False
36,490,True,31,3,145260.23,1,0,1,114066.77,0,False,False,True
37,804,True,33,7,76548.6,1,0,1,98453.45,0,False,False,True
38,850,True,36,7,0.0,1,1,1,40812.9,0,True,False,False
39,582,True,41,6,70349.48,2,0,1,178074.04,0,False,True,False
40,472,True,40,4,0.0,1,1,0,70154.22,0,False,False,True
41,465,False,51,8,122522.32,1,0,0,181297.65,1,True,False,False
42,556,False,61,2,117419.35,1,1,1,94153.83,0,True,False,False
43,834,False,49,2,131394.56,1,0,0,194365.76,1,True,False,False
44,660,False,61,5,155931.11,1,1,1,158338.39,0,False,False,True
45,776,False,32,4,109421.13,2,1,1,126517.46,0,False,True,False
46,829,False,27,9,112045.67,1,1,1,119708.21,1,False,True,False
47,637,False,39,9,137843.8,1,1,1,117622.8,1,False,True,False
48,550,True,38,2,103391.38,1,0,1,90878.13,0,False,True,False
49,776,False,37,2,103769.22,2,1,0,194099.12,0,False,True,False
50,698,True,44,10,116363.37,2,1,0,198059.16,0,False,True,False
51,585,True,36,5,146050.97,2,0,0,86424.57,0,False,True,False
52,788,False,33,5,0.0,2,0,0,116978.19,0,True,False,False
53,655,True,41,8,125561.97,1,0,0,164040.94,1,False,True,False
54,601,True,42,1,98495.72,1,1,0,40014.76,1,False,True,False
55,619,True,43,1,125211.92,1,1,1,113410.49,0,True,False,False
56,656,True,45,5,127864.4,1,1,0,87107.57,0,True,False,False
57,725,True,19,0,75888.2,1,0,0,45613.75,0,False,True,False
